index,horse_id,won,y_predict,top_prediction,accuracy
63818,1140,0,0.08333323895931244,0,False
63819,2862,0,0.08333315700292587,0,False
63820,3720,0,0.08333354443311691,0,False
63821,3264,0,0.08333320915699005,0,False
63822,596,1,0.08333336561918259,0,False
63823,9,0,0.08333345502614975,0,False
63824,3825,0,0.08333344012498856,0,False
63825,22,0,0.08333331346511841,0,False
63826,3809,0,0.08333362638950348,1,False
63827,1252,0,0.08333336561918259,0,False
63828,1710,0,0.08333321660757065,0,False
63829,411,0,0.08333276212215424,0,False
63830,2132,0,0.08333314955234528,0,False
63831,3071,1,0.08333322405815125,0,False
63832,1643,0,0.08333349227905273,0,False
63833,1569,0,0.08333321660757065,0,False
63834,1055,0,0.08333375304937363,1,False
63835,38,0,0.08333351463079453,0,False
63836,1938,0,0.08333346247673035,0,False
63837,3518,0,0.08333365619182587,0,False
63838,1977,0,0.08333317935466766,0,False
63839,339,0,0.16666683554649353,0,False
63840,3969,0,0.16666659712791443,0,False
63841,2445,0,0.1666664481163025,0,False
63842,2533,0,0.1666664481163025,0,False
63843,413,0,0.16666671633720398,0,False
63844,3022,1,0.16666695475578308,0,False
63845,1125,0,0.16666685044765472,0,False
63846,1978,0,0.16666728258132935,1,False
63847,2244,0,0.16666603088378906,0,False
63848,3893,0,0.16666720807552338,0,False
63849,1609,0,0.1666657030582428,0,False
63850,449,0,0.1666668802499771,0,False
63851,4288,0,0.08333325386047363,0,False
63852,981,0,0.08333371579647064,0,False
63853,1257,0,0.08333301544189453,0,False
63854,102,1,0.0833338275551796,1,True
63855,1239,0,0.08333326876163483,0,False
63856,3688,0,0.0833330750465393,0,False
63857,3464,0,0.08333320170640945,0,False
63858,327,0,0.08333312720060349,0,False
63859,2119,0,0.0833333283662796,0,False
63860,2221,0,0.08333353698253632,0,False
63861,1231,0,0.08333346247673035,0,False
63862,1919,0,0.08333314210176468,0,False
63863,3191,0,0.08333303034305573,0,False
63864,3198,0,0.08333351463079453,0,False
63865,3819,0,0.08333352953195572,0,False
63866,2235,0,0.08333311975002289,0,False
63867,575,1,0.08333324640989304,0,False
63868,2405,0,0.08333320170640945,0,False
63869,1702,0,0.08333344012498856,0,False
63870,1555,0,0.08333346992731094,0,False
63871,658,0,0.0833333283662796,0,False
63872,2078,0,0.08333306014537811,0,False
63873,2099,0,0.08333393186330795,1,False
63874,994,0,0.08333305269479752,0,False
63875,985,0,0.499999463558197,0,False
63876,2335,0,0.500000536441803,1,False
63877,2347,0,0.11111102253198624,0,False
63878,836,1,0.11111114174127579,0,False
63879,1656,0,0.11111155897378922,0,False
63880,4226,0,0.11111108213663101,0,False
63881,3757,0,0.11111104488372803,0,False
63882,2732,0,0.11111067235469818,0,False
63883,3201,0,0.11111131310462952,0,False
63884,1802,0,0.11111143976449966,0,False
63885,3042,0,0.11111075431108475,0,False
63886,2453,0,0.08333349972963333,0,False
63887,3937,0,0.08333338797092438,0,False
63888,2523,0,0.0833335816860199,0,False
63889,983,0,0.0833335891366005,0,False
63890,1241,0,0.0833333432674408,0,False
63891,3470,0,0.08333306014537811,0,False
63892,3385,0,0.08333314955234528,0,False
63893,1139,0,0.08333298563957214,0,False
63894,1611,0,0.08333320915699005,0,False
63895,1886,0,0.08333323895931244,0,False
63896,3771,0,0.08333372324705124,1,False
63897,34,1,0.08333317935466766,0,False
63898,787,0,0.09090887010097504,0,False
63899,342,0,0.09090843796730042,0,False
63900,1580,0,0.09090904891490936,0,False
63901,2443,0,0.09090965986251831,0,False
63902,292,0,0.09090912342071533,0,False
63903,454,0,0.09090880304574966,0,False
63904,2756,0,0.09090881049633026,0,False
63905,1600,0,0.09090951830148697,0,False
63906,168,0,0.09090926498174667,0,False
63907,1655,0,0.09090913087129593,0,False
63908,998,1,0.09090933203697205,0,False
63909,179,0,0.33333373069763184,1,False
63910,4192,0,0.3333328664302826,0,False
63911,955,0,0.33333340287208557,0,False
63912,323,0,0.07142841070890427,0,False
63913,153,0,0.07142835110425949,0,False
63914,3020,0,0.07142847776412964,0,False
63915,2102,0,0.07142859697341919,0,False
63916,4194,0,0.07142873853445053,0,False
63917,2587,0,0.07142841815948486,0,False
63918,210,1,0.07142896950244904,1,True
63919,152,0,0.07142864167690277,0,False
63920,3215,0,0.07142865657806396,0,False
63921,1890,0,0.07142843306064606,0,False
63922,23,0,0.07142890989780426,0,False
63923,2582,0,0.07142855226993561,0,False
63924,1259,0,0.0714283138513565,0,False
63925,4147,0,0.07142855226993561,0,False
63926,2613,0,0.08333311229944229,0,False
63927,2589,0,0.08333329856395721,0,False
