index,race_id,horse_id,won,y_predict,top_prediction,accuracy,win_dividend1,gains
6802,5621,1474,0,0.1338419837665995,1,False,19.5,-100.0
6809,5622,1140,0,0.14540085778969503,1,False,5.9,-100.0
6822,5623,628,0,0.1440115180821515,1,False,3.4,-100.0
6833,5624,3974,0,0.11006049035168615,1,False,3.05,-100.0
6852,5625,817,0,0.13607470673142308,1,False,22.4,-100.0
6860,5626,2585,0,0.14324213480733422,1,False,27.05,-100.0
6872,5627,24,0,0.11230720981125474,1,False,7.25,-100.0
6891,5628,2734,0,0.14096127788559681,1,False,18.05,-100.0
6900,5629,218,1,0.16565332717487807,1,True,2.15,215.0
6911,5630,627,1,0.15175945554226478,1,True,4.1,409.99999999999994
6928,5631,3765,0,0.14090905198736942,1,False,5.25,-100.0
6941,5632,600,1,0.14203238950249342,1,True,5.25,525.0
6959,5633,955,0,0.10118409885113357,1,False,27.8,-100.0
6973,5634,1495,0,0.12262662874938064,1,False,6.05,-100.0
6986,5635,1266,1,0.12988287714503116,1,True,2.9,290.0
6994,5636,166,0,0.1135027843754745,1,False,10.3,-100.0
7006,5637,2629,0,0.13373321330208782,1,False,9.6,-100.0
7019,5638,2082,0,0.14276539435017083,1,False,3.25,-100.0
7027,5639,3052,0,0.1350645286211441,1,False,3.8,-100.0
7048,5640,1807,0,0.13247955200731565,1,False,20.05,-100.0
7050,5641,2421,0,0.14190885371723,1,False,15.85,-100.0
7064,5642,1156,0,0.12370937052251967,1,False,13.3,-100.0
7077,5643,897,0,0.13698735989668304,1,False,2.6,-100.0
7094,5644,1919,1,0.1306884980807152,1,True,2.75,275.0
7104,5645,295,0,0.14853882996779266,1,False,4.25,-100.0
7116,5646,1153,0,0.14326722342255493,1,False,3.9,-100.0
7128,5647,2905,0,0.151737686252929,1,False,12.75,-100.0
7148,5648,4276,1,0.15017393746199753,1,True,1.8,180.0
7152,5649,1492,0,0.14593500415959798,1,False,9.75,-100.0
7170,5650,2216,0,0.1466501855051448,1,False,5.9,-100.0
7179,5651,3802,1,0.13374249802534938,1,True,1.75,175.0
7193,5652,2622,1,0.13489153098149648,1,True,3.9,390.0
7199,5653,2237,0,0.12969992500381308,1,False,2.85,-100.0
7211,5654,1052,1,0.13356407043047985,1,True,3.25,325.0
7223,5655,530,0,0.1418767343937264,1,False,5.05,-100.0
7234,5656,864,0,0.13049445753714412,1,False,17.5,-100.0
7248,5657,3385,0,0.1468394347342722,1,False,8.5,-100.0
7260,5658,2154,0,0.13656763159105767,1,False,3.75,-100.0
7272,5659,3860,0,0.10720197707277836,1,False,14.6,-100.0
7292,5660,3536,0,0.12818892344735838,1,False,9.65,-100.0
7301,5661,2247,0,0.11451380350752986,1,False,74.25,-100.0
7313,5662,24,0,0.13078794613258493,1,False,20.3,-100.0
7329,5663,807,0,0.13492631337130062,1,False,8.4,-100.0
7340,5664,2593,0,0.13981450019448843,1,False,122.4,-100.0
7350,5665,3085,0,0.14389026420161716,1,False,4.2,-100.0
7374,5666,2835,1,0.13806464356119308,1,True,2.45,245.00000000000003
7377,5667,1574,0,0.1549257268610459,1,False,11.55,-100.0
7393,5668,3780,0,0.15359641135270524,1,False,9.2,-100.0
7408,5669,4386,0,0.13555394132173731,1,False,5.75,-100.0
7419,5670,1028,0,0.12835061830281563,1,False,5.2,-100.0
7430,5671,3763,1,0.1216395293821008,1,True,2.4,240.0
7447,5672,3469,0,0.14648188523954547,1,False,3.55,-100.0
7464,5673,601,1,0.15196520169064598,1,True,5.8,580.0
7467,5674,246,0,0.1326192517872477,1,False,2.3,-100.0
7484,5675,3760,0,0.1405386159034714,1,False,25.2,-100.0
7494,5676,2558,0,0.18694547688480695,1,False,8.55,-100.0
7510,5677,3580,1,0.14484541473988538,1,True,2.65,265.0
7523,5678,2830,0,0.16817795479705788,1,False,3.8,-100.0
7532,5679,2716,1,0.14447543718229178,1,True,3.25,325.0
7544,5680,1282,1,0.1518032524017905,1,True,5.5,550.0
7561,5681,2493,1,0.11055167738657097,1,True,6.15,615.0
7570,5682,2529,0,0.12303395356374185,1,False,12.65,-100.0
7580,5683,602,0,0.13777526543854274,1,False,2.7,-100.0
7591,5684,1603,0,0.12528204837165102,1,False,5.85,-100.0
7604,5685,298,0,0.13172640982388606,1,False,8.1,-100.0
7615,5686,3470,0,0.13413698514068073,1,False,9.1,-100.0
7630,5687,981,0,0.13636963151767467,1,False,19.4,-100.0
7643,5688,404,1,0.13470597491599084,1,True,3.0,300.0
7652,5689,2106,0,0.1421399609971281,1,False,2.65,-100.0
7663,5690,2105,1,0.12373201431745158,1,True,3.25,325.0
7685,5691,3777,0,0.13677051444309407,1,False,3.5,-100.0
7698,5692,955,0,0.11140535005802706,1,False,8.65,-100.0
7709,5693,1844,0,0.13660616854989482,1,False,4.7,-100.0
7724,5694,1583,1,0.13279377145629834,1,True,4.15,415.00000000000006
7732,5695,1153,0,0.1358480015908921,1,False,2.9,-100.0
7750,5696,3525,0,0.14551257014208202,1,False,8.1,-100.0
7767,5697,1318,0,0.13753154121068295,1,False,3.2,-100.0
7782,5698,1574,1,0.1367009376296836,1,True,3.2,320.0
7795,5699,2554,0,0.1446089001785213,1,False,8.65,-100.0
7799,5700,2220,0,0.1234192941456015,1,False,5.75,-100.0
7810,5701,1977,1,0.1235260946525268,1,True,2.65,265.0
7822,5702,3313,0,0.13320813550028643,1,False,18.55,-100.0
7838,5703,3466,1,0.14318283341134302,1,True,1.65,165.0
7859,5704,4096,0,0.13455274348920865,1,False,7.0,-100.0
7868,5705,3145,0,0.14982585644484225,1,False,5.85,-100.0
7873,5706,3751,0,0.13381098987013645,1,False,5.45,-100.0
7892,5707,3639,1,0.15330584129145702,1,True,1.5,150.0
7898,5708,3337,0,0.1480699783109513,1,False,13.15,-100.0
7912,5709,1021,0,0.14204362308868373,1,False,9.2,-100.0
7924,5710,3522,0,0.13743793028911652,1,False,5.7,-100.0
7937,5711,3860,0,0.11448202528794217,1,False,25.0,-100.0
7956,5712,3536,1,0.14109321460988516,1,True,2.65,265.0
7963,5713,2716,0,0.14769259113338662,1,False,3.8,-100.0
7975,5714,3462,0,0.1342679595655668,1,False,3.85,-100.0
7990,5715,1086,0,0.12855582715679847,1,False,14.45,-100.0
8008,5716,631,0,0.12180247884863983,1,False,24.2,-100.0
8019,5717,2402,0,0.15975047920473717,1,False,4.4,-100.0
8036,5718,301,0,0.13325196998360317,1,False,9.8,-100.0
8042,5719,2879,1,0.14182955846306283,1,True,2.9,290.0
8058,5720,2907,0,0.14076665627817508,1,False,9.05,-100.0
8070,5721,2244,0,0.1142665841186584,1,False,10.5,-100.0
8082,5722,3552,0,0.11331922596912496,1,False,7.85,-100.0
8093,5723,1390,0,0.1339540920939261,1,False,4.5,-100.0
8108,5724,3004,0,0.13487608766324322,1,False,4.75,-100.0
8125,5725,314,1,0.12726813400620107,1,True,2.0,200.0
8129,5726,864,0,0.1312043547949932,1,False,4.95,-100.0
8147,5727,1052,0,0.13609544564801174,1,False,2.6,-100.0
8153,5728,1291,0,0.1449506205282326,1,False,2.45,-100.0
8166,5729,2801,0,0.13520100431793347,1,False,15.35,-100.0
8179,5730,1249,0,0.11040788418234869,1,False,3.5,-100.0
8194,5731,4200,0,0.1230976832078106,1,False,7.6,-100.0
8208,5732,3469,0,0.14171276163648,1,False,10.8,-100.0
8223,5733,944,0,0.14015961228466722,1,False,5.55,-100.0
8240,5734,2021,0,0.13429548804009245,1,False,4.4,-100.0
8244,5735,1588,1,0.15475736503690207,1,True,3.4,340.0
8256,5736,988,1,0.15925561033698865,1,True,2.6,260.0
8271,5737,1723,0,0.14313297455067958,1,False,4.5,-100.0
8287,5738,1195,0,0.1442909755863525,1,False,15.5,-100.0
8304,5739,3013,1,0.14130541755414233,1,True,5.0,500.0
8312,5740,1885,1,0.12001909040392651,1,True,2.8,280.0
8322,5741,3539,1,0.1408155417300369,1,True,1.4,140.0
8339,5742,1921,0,0.14149545304827382,1,False,3.3,-100.0
8349,5743,3434,0,0.11994242298866457,1,False,2.85,-100.0
8355,5744,2911,1,0.15542929503133907,1,True,7.15,715.0
8366,5745,1290,0,0.14188828958325322,1,False,22.65,-100.0
8385,5746,2554,0,0.1486543128616694,1,False,50.15,-100.0
8396,5747,2799,0,0.13571041445961307,1,False,3.15,-100.0
8406,5748,140,0,0.11504979558798746,1,False,15.65,-100.0
8415,5749,327,0,0.11792612193433137,1,False,5.45,-100.0
8428,5750,2516,1,0.1457889953508157,1,True,3.75,375.0
8442,5751,1702,0,0.14050929008255092,1,False,18.25,-100.0
8456,5752,3637,0,0.12748194553893466,1,False,11.0,-100.0
8468,5753,4300,1,0.15398960704839731,1,True,4.45,445.0
8478,5754,3784,0,0.12630879504926829,1,False,28.6,-100.0
8492,5755,2558,0,0.17414793948158114,1,False,3.8,-100.0
8502,5756,309,1,0.13424876915832124,1,True,4.95,495.0
8523,5757,3764,0,0.1298560679724482,1,False,12.55,-100.0
