iter	Passed	Remaining
679	34664	16312
680	34721	16264
681	34820	16236
682	34869	16184
683	34921	16133
684	34976	16083
685	35018	16028
686	35067	15976
687	35118	15925
688	35176	15878
689	35232	15829
690	35278	15775
691	35330	15725
692	35378	15672
693	35428	15621
694	35480	15570
695	35533	15520
696	35591	15472
697	35644	15422
698	35698	15372
699	35744	15319
700	35797	15268
701	35855	15220
702	35915	15173
703	35971	15124
704	36028	15075
705	36085	15027
706	36155	14983
707	36221	14938
708	36273	14887
709	36322	14836
710	36374	14785
711	36428	14734
712	36479	14683
713	36532	14633
714	36578	14580
715	36635	14531
716	36684	14479
717	36743	14431
718	36804	14383
719	36867	14337
720	36922	14287
721	36968	14234
722	37015	14181
723	37058	14127
724	37103	14073
725	37156	14023
726	37199	13969
727	37249	13917
728	37300	13866
729	37342	13811
730	37392	13759
731	37446	13709
732	37494	13657
733	37545	13606
734	37595	13554
735	37803	13559
736	37862	13511
737	37919	13461
738	37969	13410
739	38053	13370
740	38109	13320
741	38169	13271
742	38223	13221
743	38277	13170
744	38330	13119
745	38377	13067
746	38422	13013
747	38473	12961
748	38525	12910
749	38575	12858
750	38630	12808
751	38704	12764
752	38770	12717
753	38841	12672
754	38885	12618
755	38934	12566
756	38977	12511
757	39042	12464
758	39097	12414
759	39150	12363
760	39231	12321
761	39301	12275
762	39374	12230
763	39453	12187
764	39522	12140
765	39594	12095
766	39658	12047
767	39726	12000
768	39798	11954
769	39853	11904
770	39912	11854
771	39972	11805
772	40024	11753
773	40078	11702
774	40257	11687
775	40373	11654
776	40448	11608
777	40531	11565
778	40587	11514
779	40661	11468
780	40738	11423
781	40807	11376
782	40889	11332
783	40976	11289
784	41042	11240
785	41120	11195
786	41209	11153
787	41284	11106
788	41361	11061
789	41468	11023
790	41538	10975
791	41622	10931
792	41725	10891
793	41807	10846
794	41884	10800
795	41968	10755
796	42042	10708
797	42126	10663
798	42220	10621
799	42295	10573
800	42386	10530
801	42477	10487
802	42575	10445
803	42684	10405
804	42783	10363
805	42875	10319
806	42974	10277
807	43051	10229
808	43129	10182
809	43201	10133
810	43291	10088
811	43379	10043
812	43475	10000
813	43555	9952
814	43624	9902
815	43750	9865
816	43823	9815
817	43912	9770
818	44016	9727
819	44099	9680
820	44226	9642
821	44479	9631
822	44583	9588
823	44738	9555
824	44866	9517
825	44993	9478
826	45115	9437
827	45215	9392
828	45327	9349
829	45466	9312
830	45571	9267
831	45699	9227
832	45825	9187
833	45996	9155
834	46162	9121
835	46278	9078
836	46433	9042
837	46547	8998
838	46720	8965
839	46862	8926
840	47053	8895
841	47189	8854
842	47272	8803
843	47449	8770
844	47537	8719
845	47626	8669
846	47721	8620
847	47811	8569
848	47885	8516
849	47979	8466
850	48042	8411
851	48115	8358
852	48177	8302
853	48235	8246
854	48292	8189
855	48357	8134
856	48413	8078
857	48484	8024
858	48553	7969
859	48612	7913
860	48697	7861
861	48766	7807
862	48819	7750
863	48900	7697
864	48978	7644
865	49058	7591
866	49122	7535
867	49177	7478
868	49227	7421
869	49272	7362
870	49317	7304
871	49369	7246
872	49420	7189
873	49466	7131
874	49521	7074
875	49572	7017
876	49630	6960
877	49679	6903
878	49735	6846
879	49781	6788
880	49834	6731
881	49875	6672
882	49922	6614
883	49966	6556
884	50024	6500
